Original Word,After Doubled Letter Removal
diane,dianne
adres,adress
gert,geert
zar,zaar
as,aas
moro,morro
grove,groove
rives,rivers
oly,olly
goh,gogh
nca,ncaa
ruben,reuben
sfu,sfsu
rod,rood
lyne,lynne
waver,weaver
tul,tull
mit,mitt
matress,mattress
vd,vdd
hme,heme
pos,poss
go,goo
noding,nodding
cis,csis
maf,maff
rom,room
miler,miller
lily,lilly
lto,loto
weber,webber
reis,reiss
coa,coca
non,noon
imagine,inmagine
ra,raa
bdi,bidi
let,lett
marisa,marissa
daniele,danielle
earings,earrings
seward,seaward
poh,pooh
ranges,rangers
hut,hutt
ven,veen
cory,corry
tone,tonne
dre,dree
sad,saad
xm,xmm
hana,hanna
cher,cheer
loses,looses
ncum,ncnum
tro,toro
cta,cata
pr,prr
plate,palate
nol,noll
coley,cooley
cares,caress
buffet,buffett
cos,coos
mira,mirra
allen,alleen
po,poo
sto,soto
tera,tetra
swell,sewell
eda,edda
wolf,woolf
forest,forrest
daa,dada
dda,dada
sate,state
boney,bonney
useful,usefull
cms,cmms
mated,matted
ide,idee
hater,hatter
sma,sama
mpx,mxpx
tiger,tigger
la,laa
et,ett
morality,mortality
atr,attr
lop,loop
kegan,keegan
cassel,cassell
des,dess
erd,ered
asad,assad
ike,ikke
rsp,rrsp
coffe,coffee
aces,acces
mb,mbb
mclaren,maclaren
din,didn
us,uss
rides,riders
md,mmd
satelite,satellite
schuman,schumann
dfa,dafa
sot,soot
msm,mssm
unrivaled,unrivalled
fee,ffee
lovable,loveable
brazilian,brazillian
cas,cass
welding,wielding
janie,jeanie
male,malle
faithful,faithfull
wtp,wwtp
dt,dtt
tgi,tigi
combs,coombs
mac,macc
ca,cca
dolittle,doolittle
waving,waiving
raging,ranging
man,mann
les,lees
tf,ttf
bho,boho
rife,reife
revel,revell
chao,chaco
os,oss
coble,cobble
encyclopedia,encyclopaedia
amo,ammo
csa,casa
mila,milla
dor,door
nel,neel
we,wee
caps,capps
kean,kenan
grr,grrr
col,coll
decide,deicide
iles,isles
ts,tts
stenberg,sternberg
dem,deem
gower,grower
fox,foxx
case,cease
ee,eee
rise,reise
herman,hermann
wa,waa
tranquility,tranquillity
brazil,brazzil
rp,rrp
ha,haa
corina,corinna
sante,santee
nee,nene
nne,nene
cokin,cookin
pep,peep
uic,uiuc
abba,ababa
cel,cell
bk,bbk
ufs,usfs
gta,gata
anu,annu
counselors,counsellors
sno,sono
hed,heed
bains,basins
pella,paella
cesar,caesar
helo,hello
oes,oses
jel,jell
ops,opps
pol,poll
mckay,mackay
parrot,parrott
mii,mimi
mmi,mimi
recomend,reccomend
iea,iaea
jen,jenn
denis,dennis
hmmm,hmmmm
rto,roto
mcneil,mcneill
hermann,herrmann
ef,eff
angles,angeles
mds,msds
wits,wists
xxl,xxxl
ll,lll
data,datta
has,hass
powerful,powerfull
moto,motto
sten,steen
tubs,tubbs
msa,masa
con,conn
raga,ragga
haven,heaven
gof,goof
kanada,kannada
tres,trees
cao,caco
can,caan
trop,troop
sigel,siegel
schroder,schroeder
nas,naas
cred,creed
daryl,darryl
mili,milli
bite,bitte
compat,compact
so,sso
tained,tainted
dae,dade
sep,seep
backlight,blacklight
ir,irr
pit,pitt
nar,naar
rma,rama
itl,itil
graf,graff
gaps,gasps
oto,otto
hp,hpp
ipos,ipsos
vos,voss
fog,fogg
colin,collin
bud,budd
caton,canton
sc,scc
vigo,viggo
olson,olsson
lom,loom
mclean,maclean
taser,teaser
tigger,trigger
care,carre
eat,etat
mores,moores
fl,fll
hart,haart
bp,bpp
har,harr
fs,fss
iso,isso
leveling,levelling
leg,legg
yada,yadda
restated,restarted
program,programm
si,sii
fd,fdd
trough,through
sdi,sidi
olin,onlin
polen,pollen
comer,cromer
gi,ggi
loreto,loretto
both,booth
amour,armour
fa,faa
gm,gmm
panting,painting
grupo,gruppo
pes,peps
su,suu
from,fromm
sooo,soooo
sb,sbb
pater,prater
gode,goode
negra,negara
mote,motte
rates,raters
bos,boos
expres,express
marshals,marshalls
boing,boning
crab,crabb
rig,rigg
roslyn,rosslyn
